"group","step","threshold","reconstruction","completion_acc","completion_ppl","actual_latent_per_byte","soft_latent_per_byte","chunks_per_byte"
"p4_b_other_memory_only","3000","0.4","0.981781005859375","0.13472446566447616","40.00036740559606","0.6599578857421875","0.5755777806043625","0.0625"
"p4_b_other_memory_only","3000","0.5","0.9635162353515625","0.13525635935366154","39.65421701941718","0.546417236328125","0.5755777806043625","0.0625"
"p4_b_other_memory_only","3000","0.6","0.9067535400390625","0.13474431447684765","40.11740679498877","0.46209716796875","0.5755777806043625","0.0625"
"p4_b_other_memory_only","3000","0.7","0.825836181640625","0.1350577105768025","41.08099515587058","0.3983001708984375","0.5755777806043625","0.0625"
"p4_b_other_memory_only","6000","0.3","0.955413818359375","0.13274144241586328","37.860872689938056","0.9764556884765625","0.6322903260588646","0.06256103515625"
"p4_b_other_memory_only","6000","0.4","0.95074462890625","0.13196074636653066","36.71141430739433","0.9081268310546875","0.6322903260588646","0.06256103515625"
"p4_b_other_memory_only","6000","0.5","0.9298858642578125","0.132112683262676","36.2671958997975","0.7818756103515625","0.6322903260588646","0.06256103515625"
"p4_b_other_memory_only","6000","0.6","0.85845947265625","0.12827390478923917","37.14737442519892","0.5876617431640625","0.6322903260588646","0.06256103515625"
"p4_b_other_memory_only","6000","0.7","0.675323486328125","0.1178667638450861","41.18805516380445","0.34759521484375","0.6322903260588646","0.06256103515625"
"p4_b_other_memory_only","9000","0.3","0.8487548828125","0.11855826806277037","55.6824691523068","0.518310546875","0.4806516580283642","0.063568115234375"
"p4_b_other_memory_only","9000","0.4","0.8406219482421875","0.12011808343231678","51.726399778719305","0.4849700927734375","0.4806516580283642","0.063568115234375"
"p4_b_other_memory_only","9000","0.5","0.815216064453125","0.12005281494930387","50.275516715661205","0.4222869873046875","0.4806516580283642","0.063568115234375"
"p4_b_other_memory_only","9000","0.6","0.7512054443359375","0.1197712835855782","50.92030487223682","0.3236846923828125","0.4806516580283642","0.063568115234375"
"p4_b_other_memory_only","9000","0.7","0.6125030517578125","0.1193209383636713","51.522435141304065","0.212371826171875","0.4806516580283642","0.063568115234375"
"p4_b_other_memory_only","12000","0.3","0.93157958984375","0.11436913209035993","50.28804504058879","0.5067901611328125","0.4282493982464075","0.063201904296875"
"p4_b_other_memory_only","12000","0.4","0.927032470703125","0.11436913209035993","50.1878182918511","0.4558868408203125","0.4282493982464075","0.063201904296875"
"p4_b_other_memory_only","12000","0.5","0.904083251953125","0.1140099368058145","50.105903658763516","0.3477783203125","0.4282493982464075","0.063201904296875"
"p4_b_other_memory_only","12000","0.6","0.8040008544921875","0.11436913209035993","49.90819649371802","0.2220306396484375","0.4282493982464075","0.063201904296875"
