run,final_step,identity_acc_at_500,identity_acc_at_1000,identity_acc_at_2500,identity_acc_at_5000,identity_acc_at_10000,identity_acc_at_15000,identity_acc_at_20000,identity_acc_auc,identity_acc_tail_slope_per_1k,completion_mask_acc_at_500,completion_mask_acc_at_1000,completion_mask_acc_at_2500,completion_mask_acc_at_5000,completion_mask_acc_at_10000,completion_mask_acc_at_15000,completion_mask_acc_at_20000,completion_mask_acc_auc,completion_mask_acc_tail_slope_per_1k,actual_backbone_units_per_byte_at_20000,backbone_padded_units_per_byte_at_20000,eval_identity_acc,eval_completion_mask_acc,eval_actual_backbone_units_per_byte,eval_truncated_tokens
exact_marginal_rate,20000,0.21630859375,0.232177734375,0.397216796875,0.562255859375,0.7255859375,0.777099609375,0.77099609375,0.6306363736783659,-0.02135291466346154,0.10309278219938278,0.09865471720695496,0.06603773683309555,0.13705582916736603,0.12994350492954254,0.10303030163049698,0.1256544589996338,0.12432956092480991,-0.006960449883571039,0.495361328125,0.576171875,0.77838134765625,0.1337492442689836,0.4927520751953125,0.0
l2_marginal_rate,20000,0.1904296875,0.190673828125,0.41943359375,0.66845703125,0.79296875,0.922607421875,0.8662109375,0.7535834174017768,-0.003812349759615384,0.12886597216129303,0.11210762709379196,0.06603773683309555,0.10152284055948257,0.10734463483095169,0.13333332538604736,0.10471203923225403,0.11821142486571609,0.009651315899995657,0.49609375,0.833984375,0.7984771728515625,0.11981697287410498,0.4430999755859375,0.0
uniform_boundaries,20000,0.22119140625,0.515869140625,0.734130859375,0.996337890625,0.987548828125,0.996337890625,0.998779296875,0.9222502531828703,0.002478966346153846,0.10309278219938278,0.10313902050256729,0.08018867671489716,0.14720812439918518,0.14124293625354767,0.11515150964260101,0.1256544589996338,0.13159458550276817,-0.0018329545855522164,0.602783203125,0.712890625,0.99688720703125,0.14566408284008503,0.590484619140625,0.0
uniform_to_l2_curriculum,20000,0.214111328125,0.542236328125,0.962890625,0.809814453125,0.873779296875,0.919189453125,0.89794921875,0.7566128139858609,-0.011023888221153846,0.11855670064687729,0.13901345431804657,0.07547169923782349,0.17258882522583008,0.1355932205915451,0.16363635659217834,0.10994764417409897,0.12678848831980555,-0.0022034527590641603,0.5078125,0.630859375,0.888519287109375,0.1473537920974195,0.5224761962890625,0.0
